,id,-,sentiment,text
0,2401,Borderlands,1,"im getting on borderlands and i will murder you all ,"
1,2401,Borderlands,1,"I am coming to the borders and I will kill you all,"
2,2401,Borderlands,1,"im getting on borderlands and i will kill you all,"
3,2401,Borderlands,1,"im coming on borderlands and i will murder you all,"
4,2401,Borderlands,1,"im getting on borderlands 2 and i will murder you me all,"
5,2401,Borderlands,1,"im getting into borderlands and i can murder you all,"
6,2402,Borderlands,1,So I spent a few hours making something for fun. . . If you don't know I am a HUGE @Borderlands fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg
7,2402,Borderlands,1,"So I spent a couple of hours doing something for fun... If you don't know that I'm a huge @ Borderlands fan and Maya is one of my favorite characters, I decided to make a wallpaper for my PC.. Here's the original picture compared to the creation I made:) Have fun! pic.twitter.com / mLsI5wf9Jg"
8,2402,Borderlands,1,So I spent a few hours doing something for fun... If you don't know I'm a HUGE @ Borderlands fan and Maya is one of my favorite characters.
9,2402,Borderlands,1,So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg
10,2402,Borderlands,1,2010 So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg
11,2402,Borderlands,1,was
18,2404,Borderlands,1,that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills
19,2404,Borderlands,1,this was the first Borderlands session in a long time where i actually had a really satisfying fighting experience. i got some really good kills
20,2404,Borderlands,1,that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills
21,2404,Borderlands,1,that was the first borderlands session in a long time where i actually enjoyed a really satisfying combat experience. i got some rather good kills
22,2404,Borderlands,1,that I was the first real borderlands session in a nice long wait time where i actually had a really satisfying combat experience. and i got some really good kills
23,2404,Borderlands,1,that was the first borderlands session in a hot row where i actually had a really bad combat experience. i did some really good kills
24,2405,Borderlands,0,the biggest dissappoinment in my life came out a year ago fuck borderlands 3
25,2405,Borderlands,0,The biggest disappointment of my life came a year ago.
26,2405,Borderlands,0,The biggest disappointment of my life came a year ago.
27,2405,Borderlands,0,the biggest dissappoinment in my life coming out a year ago fuck borderlands 3
28,2405,Borderlands,0,For the biggest male dissappoinment in my life came hanging out a year time ago fuck borderlands 3
29,2405,Borderlands,0,the biggest dissappoinment in my life came back last year ago fuck borderlands last
30,2406,Borderlands,1,WE FINISHED BORDERLANDS 3 FINALLY YAS! Thank you for hanging out everyone! It was fun. I will try to stream tomorrow but if not I might so some IRL streams while awayu. We shall see. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and @KfdMitch.
31,2406,Borderlands,1,"WE FINALLY FINALLY FIND BORDERLANDS 3 YES! Thank you all for hanging out! It was fun. I'll try to stream tomorrow, but if not, maybe some IRL streams. We'll see. Thanks for the raids @ mompou _ mumpow @ MegaMagwitch and @ KfdMitch."
32,2406,Borderlands,1,"Thank you for hanging up everyone! It was fun. I'll try to get a haircut tomorrow, but if it wasn't for me, some IRL streams would still be in Hawaii. We'll see. Thank you so much for the @ mompou _ mumpow @ MegaMagwife and @ fendMitch raids."
33,2406,Borderlands,1,WE FINISHED BORDERLANDS 3 UPDATE YAS! Thank you for hanging out guys! It was fun. I will try to stream and even if not I might so some IRL streams while awayu. We shall go. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and Hope.
34,2406,Borderlands,1,WE FINISHED BORDERLANDS 3 AND FINALLY YAS! Thank you everyone for hanging out everyone! It was fun. I will try to make stream tomorrow but if not I might make so some IRL streams while awayu. 10 We never shall see. Thank you both so... much for the raids @mompou_mumpow or @MegaMagwitch and 4 @KfdMitch.
35,2406,Borderlands,1,WE FINISHED BORDERLANDS 3 FINALLY YAS! Hey you for hanging out so! It was fun. I will try that stream tomorrow and if not I might use some IRL streams from awayu. We shall see. Thank you so much how many raids @mompou_mumpow did and their.
36,2407,Borderlands,0,Man Gearbox really needs to fix this dissapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops. . Really sucks alot
37,2407,Borderlands,0,"Man Gearbox really needs to fix these disappointing drops in the new Borderlands 3 DLC for farm bosses on Mayhem 10 to get a legendary drop, while I get 6-10 drops elsewhere."
38,2407,Borderlands,0,Man Gearbox really needs to fix this disssapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while elsewhere i get 6-10 drops... Really sucks alot
39,2407,Borderlands,0,Man Bethesda really needs to fix this dissapointing drops and the new Borderlands 3 It cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops.. Really sucks...
40,2407,Borderlands,0,Man Gearbox really needs to fix this dissapointing drops in the completely new Borderlands 3 Days DLC i cant e be fine having to be farm bosses on Mayhem 10 to e get 1 legendary foot drop while anywhere else i get 6 - 10 drops.. It Really sucks to alot
41,2407,Borderlands,0,<unk> Gearbox really time to fix this 10 drops in the new Borderlands 3 DLC or be fine to force bosses on Mayhem 10 to get a legendary drop while everyone else i get 6-10 drops.. Really needs alot
54,2410,Borderlands,0,why does like every man in borderlands have slicked back hair haven’t you heard of bangs you stupid assholes
55,2410,Borderlands,0,"Why, like every man in border countries, have you not heard of bangs, you stupid assholes?"
56,2410,Borderlands,0,"Why, like everyone else in the border countries, have your hair fallen off, have you not heard that you are stupid aliens?"
57,2410,Borderlands,0,why does like<unk> man in borderlands have slicked back hair or you heard of bangs you stupid assholes
58,2410,Borderlands,0,why Beth does like every man in borderlands have she slicked that back hair haven ’ t you heard enough of gray bangs you stupid assholes
59,2410,Borderlands,0,why does practically every man in France have slicked back hair haven’t you heard of bangs the greedy assholes
66,2412,Borderlands,1,Going to finish up Borderlands 2 today. I've got some new commands set up and am looking forward to a good stream! Starting in about am hour!
67,2412,Borderlands,1,I will finish Borderlands 2 today. I have some new commands set up and am looking forward to a good stream! Start in about an hour!
68,2412,Borderlands,1,I'm going to finish Borderlands 2 today. I have some new commands installed and I'm looking forward to a good stream!
69,2412,Borderlands,1,Going to finish up Borderlands 2 today. I've got some new events set up and am look forward to a good stream! Starting in about 20 hour!
70,2412,Borderlands,1,Going to finish finish cleaning up Borderlands 2 today. I've just got her some new commands set all up and am looking forward it to a good stream! Starting in about am hour!
71,2412,Borderlands,1,Going to finish up volume 2 today. I've got some awesome server set up and is looking forward to a good stream! Starting in about am hour!
72,2413,Borderlands,1,imma probably play some borderlands tps in a bit . that'll be fun
73,2413,Borderlands,1,imma is probably playing a bit of borderland tps. That will be fun.
74,2413,Borderlands,1,imma will probably play some border tps in a bit. It's going to be fun
75,2413,Borderlands,1,imma probably play live borderlands tps in a bit. that'll be fun
76,2413,Borderlands,1,for imma probably play some borderlands tps in a bit. that'yer ll be a fun
77,2413,Borderlands,1,imma probably got some video tps in a bit. that'll make fun
84,2415,Borderlands,1,FUCK YESSSSSSSS . 
85,2415,Borderlands,1,FICK YESSSSSS.
86,2415,Borderlands,1,FUCK YESSSSSSSS.
87,2415,Borderlands,1,FUCK YESSSSSSSS<unk>
88,2415,Borderlands,1,A FUCK... YESSSSSSSS.
89,2415,Borderlands,1,FUCK YOU.
96,2417,Borderlands,0,Grounded almost looked pretty cool even despite the borderlands tier unfunny writing until it became yet another survival crafting game. I really can’t wait for this shitty trend to die
97,2417,Borderlands,0,"Grounded looked cool despite the borderline unfunny writing, until it became another survival crafting game. I really can't wait for this crappy trend to die."
98,2417,Borderlands,0,"Grosskreutz looked pretty cool, even despite the unfunny spelling, until it turned into another survival game. I really can't wait for this crap trend to die"
99,2417,Borderlands,0,Grounded almost looked pretty cool here despite the borderlands tier unfunny writing until it became yet an survival crafting game. I really can’t wait for this shitty mod to die
100,2417,Borderlands,0,Deep Grounded almost looked pretty cool even despite the borderlands fifth tier unfunny writing format until ultimately it became yet another survival crafting mobile game. I really can ’ t wait for this shitty trend starting to... die
101,2417,Borderlands,0,Grounded almost was pretty cool even despite the top tier unfunny writing until we became yet another annoying crafting game. I seriously can’t wait on this shitty trend to die
108,2419,Borderlands,0,@Borderlands how do I submit a complaint? Your CEO isn't paying his staff their bonuses.
109,2419,Borderlands,0,"@ Borderlands, how can I file a complaint? Your CEO doesn't pay his employees their bonuses."
110,2419,Borderlands,0,@ Borderlands how to file a complaint? Your CEO doesn't pay his employees bonuses.
111,2419,Borderlands,0,@Borderlands how did I submit a complaint? Your CEO isn't paying his competitors their bonuses.
112,2419,Borderlands,0,@Borderlands how do suppose I submit a complaint? Your CEO isn'ain t even paying his entire staff their bonuses.
113,2419,Borderlands,0,Now how do I submit any complaint? Your CEO isn't offering his staff their bonuses.
114,2420,Borderlands,0,All the Borderlands are fuckin trash
115,2420,Borderlands,0,All the Borderlands are damn rubbish
116,2420,Borderlands,0,All the borderlands are fucking thrash
117,2420,Borderlands,0,All the Borderlands shit fuckin trash
118,2420,Borderlands,0,35 All the Borderlands are fuckin trash
119,2420,Borderlands,0,All the Borderlands are fuckin stupid
120,2421,Borderlands,1,"Finally played through borderlands 3. The actual game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. That story on the other hand.... All I will say Is that I'm very much so looking forward to the eventual cutscene skip :)"
121,2421,Borderlands,1,"Finally played by Borderlands 3. The actual game is great. Almost all weapons feel funny, and I never felt like I had to grind. On the other hand... All I will say is that I am very much looking forward to the eventual sequence skip:)"
122,2421,Borderlands,1,This story on the other hand.... All I will say is that I'm looking forward to an occasional slip:)
123,2421,Borderlands,1,"Finally played through borderlands 3. The open game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. The story on to another hand.... All I will say Is that I'm very much so looking forward to its eventual cutscene skip :)"
124,2421,Borderlands,1,"Finally played through borderlands 3. The actual game I play is great. Almost all guns feel fun, and yet I never once felt much like someone I seriously needed to grind. That pretty story on the other side hand.... All I will say Is that I'm very damn much so forward looking forward to the eventual endless cutscene skip : )"
125,2421,Borderlands,1,"Finally played through borderlands 5. The actual game play is great. Almost all guns were fun, and I never once felt sure I needed to grind. That story is the other hand.... but I will say now oh yes'm very much so looking forward to the extended cutscene skip :)"
132,2423,Borderlands,1,Come meet one of the lovely Gaming Goddesses . 
133,2423,Borderlands,1,Meet one of the lovely gambling goddesses.
134,2423,Borderlands,1,Come meet one of the beautiful gods of gambling.
135,2423,Borderlands,1,Come to one of the lovely Gaming Goddesses.
136,2423,Borderlands,1,16 Come meet one of... the lovely Gaming Goddesses.
137,2423,Borderlands,1,Come meet one of the lovely Green Goddesses.
144,2425,Borderlands,0,"""What a bitch!"""
145,2425,Borderlands,0,"""What a slut!"""
146,2425,Borderlands,0,"""What a bitch!"""
147,2425,Borderlands,0,"""What terrible bitch!"""
148,2425,Borderlands,0,"""... What a bitch! """
149,2425,Borderlands,0,"""What a miracle!"""
150,2426,Borderlands,1,Ok I am LOVING THIS (also playing Bombs Over Baghdad in anything gets me hype)  Very Borderlands like and the concept is A1!
151,2426,Borderlands,1,Ok I'm LOVING THIS (also playing Bombs Over Baghdad in something gives me a hype) Very Borderlands like and the concept is A1!
152,2426,Borderlands,1,Ok I am LOVING THIS (also playing Bombs Over Baghad in anything gets me here) Very Borderlands like and the concept is A1!
153,2426,Borderlands,1,Ok I am LOVING THIS (also seeing Take Over Baghdad in anything gets me hype)  Very Borderlands like and the concept is awesome!
154,2426,Borderlands,1,Ok sir I am LOVING THIS ( also just playing Bombs Over Baghdad and in case anything gets its me hype ) I Very Borderlands like and the concept is A1!
155,2426,Borderlands,1,Ok I am LOVING THIS (also playing Bombs and Earth in anything gets me hype) Very good RPG and the concept is A1!
156,2427,Borderlands,1,Just uninstalled all of my other games to make space for Borderlands 3 . 
157,2427,Borderlands,1,Just uninstall all my other games to make room for Borderlands 3.
158,2427,Borderlands,1,Just deleted all my other games to make room for Borderlands 3.
159,2427,Borderlands,1,Just uninstalled all of my other games will make space for Borderlands 3.
160,2427,Borderlands,1,Just uninstalled all other of my my other games to make space for watching Borderlands 3.
161,2427,Borderlands,1,Just uninstalled all of all other games in make space for Borderlands 3.
168,2429,Borderlands,1,Bioshock AND borderlands coming to the switch bitch count me the fuck in
169,2429,Borderlands,1,Bioshock AND borderlands coming to the switch bitch count me the fuck in
170,2429,Borderlands,1,Bioshock And borderlands coming to the switch bitch count me the fuck in
171,2429,Borderlands,1,Bioshock AND borderlands coming to the desert bitch count me the fuck in
172,2429,Borderlands,1,Bioshock Montana AND other borderlands Are coming to the switch bitch count me the fuck in
173,2429,Borderlands,1,Bioshock AND borderlands coming after your switch bitch count me the fuck in
174,2430,Borderlands,1,Platinum is the best loot @Borderlands  
175,2430,Borderlands,1,Platinum is the best booty @ Borderlands
176,2430,Borderlands,1,Platinum is the best lot @ Borderlands
177,2430,Borderlands,1,Platinum has the best loot @Borderlands
178,2430,Borderlands,1,Platinum Rock is named the best loot @Borderlands
179,2430,Borderlands,1,Platinum is the best loot the
186,2432,Borderlands,1,Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
187,2432,Borderlands,1,Start streaming this morning! I'm still playing some of the Borderlands DLCs and vibrating to my new playlists I've made. Come vibe. I'm also lowering my quality to 720p to see if it makes a difference how well my stream runs on my stupid internet Lmao... twitch.tv / heyitscece _
